,Country,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,abbreviation
0,Albania,173.753 ,159.469 ,163.473 ,157.272 ,190.984 ,179.239,196.85299999999998,179.28400000000002,213.604,215.22,228.317,197.622 ,AL
1,Austria,2640.337 ,2625.836 ,2555.310 ,2553.249 ,2539.345 ,2423.632,2478.658,2434.731,2638.323,2579.065,2647.699,2569.835 ,AT
2,Bosnia and Herzegovina,: ,: ,: ,: ,: ,163.649,357.70300000000003,435.411,355.631,348.522,407.07300000000004,377.639 ,BA
3,Belgium,4714.430 ,4997.810 ,4411.897 ,4624.719 ,4913.778 ,4246.35,4618.939,4644.835,4645.029,4660.907999999999,4607.335,4469.982 ,BE
4,Bulgaria,970.058 ,1026.678 ,1089.740 ,1069.698 ,1029.822 ,992.002,1078.6580000000001,1157.0410000000002,1167.156,1231.2160000000001,1267.911,1079.928 ,BG
5,Cyprus,235.766 ,248.249 ,236.358 ,222.642 ,203.120 ,200.484,206.645,221.247,229.032,270.142,281.464,239.903 ,CY
6,Czechia,2977.074 ,3249.062 ,3132.559 ,3039.527 ,3010.066 ,2922.578,2977.367,3091.4440000000004,3180.772,3127.7670000000003,3191.895,2987.047 ,CZ
7,Germany,33666.036 ,34806.768 ,30735.597 ,32027.815 ,33549.528 ,30766.034,32289.872000000003,31865.517000000003,31837.801,28892.812,27533.764,26772.162 ,DE
8,Denmark,1995.649 ,2128.258 ,1947.914 ,1978.549 ,1964.487 ,1847.338,1896.04,1946.8970000000002,1991.014,1982.8039999999999,1917.076,1822.347 ,DK
9,Euro area - 19 countries  (from 2015),110841.967 ,114669.074 ,104170.730 ,107754.602 ,109794.932 ,101298.83,106002.49,106511.144,110714.421,108343.295,105566.78199999999,99307.683 ,EA19
10,Estonia,418.577 ,424.239 ,402.178 ,423.520 ,417.892 ,457.642,465.395,498.236,466.591,490.269,467.033,471.449 ,EE
11,Greece,2153.685 ,1957.407 ,1870.116 ,1940.591 ,1820.639 ,1714.0279999999998,1874.935,2037.527,2191.6929999999998,2093.373,2135.469,1903.485 ,EL
12,Spain,9406.256 ,9786.481 ,10227.954 ,10111.196 ,9675.292 ,8942.106,9520.57,9841.23,10145.214,10263.442,10310.564,9451.495 ,ES
13,European Union - 27 countries (from 2020),134282.404 ,139969.950 ,128249.536 ,131127.497 ,132699.736 ,123385.9,128547.796,130203.536,133919.177,131641.761,128624.46800000001,121376.491 ,EU27_2020
14,Finland,2889.530 ,3099.854 ,2865.958 ,3029.687 ,2907.402 ,2890.2690000000002,2736.8740000000003,2889.923,2959.7490000000003,3078.007,3014.998,2809.781 ,FI
15,France,22890.078 ,24102.912 ,21058.756 ,22624.593 ,23397.994 ,21471.33,22283.207000000002,22407.076,22756.985,22337.875,21910.342999999997,20340.877 ,FR
16,Georgia,: ,: ,: ,: ,351.850 ,433.077,402.61400000000003,433.63800000000003,452.855,514.751,535.5319999999999,412.919 ,GE
17,Croatia,756.212 ,797.192 ,786.281 ,757.876 ,740.703 ,693.23,763.1260000000001,780.375,817.544,832.507,835.405,757.378 ,HR
18,Hungary,2903.651 ,3048.640 ,3053.612 ,2353.881 ,2337.107 ,2114.78,2203.657,2190.526,2154.189,2098.672,2050.439,1999.977 ,HU
19,Ireland,1490.985 ,1556.977 ,1507.728 ,1561.866 ,1593.925 ,1504.19,1608.3110000000001,1646.226,1643.18,1764.848,1818.4920000000002,1829.120 ,IE
20,Iceland,303.427 ,302.565 ,301.744 ,324.883 ,333.381 ,363.777,396.585,422.665,399.349,511.89599999999996,529.9209999999999,490.332 ,IS
21,Italy,16919.464 ,16978.719 ,15751.376 ,15930.534 ,15846.527 ,14666.678999999998,15391.466,15439.966,18242.166,19002.194,18192.3,16557.570 ,IT
22,Lithuania,590.787 ,600.700 ,583.961 ,610.064 ,593.023 ,585.668,574.923,602.552,633.867,651.177,626.707,576.205 ,LT
23,Luxembourg,375.890 ,424.139 ,339.836 ,383.672 ,399.689 ,353.43199999999996,396.759,399.966,449.066,460.68300000000005,519.37,493.027 ,LU
24,Latvia,572.964 ,597.801 ,556.709 ,623.331 ,600.446 ,608.7719999999999,586.308,592.494,607.014,592.045,568.8240000000001,550.364 ,LV
25,Moldova,: ,272.530 ,270.670 ,269.477 ,258.252 ,237.40200000000002,246.475,258.611,256.41700000000003,273.302,263.068,245.099 ,MD
26,Montenegro,3.960 ,4.627 ,8.460 ,8.622 ,13.741 ,68.962,70.372,79.372,86.454,87.81,108.855,89.757 ,ME
27,North Macedonia,241.709 ,233.908 ,206.178 ,228.654 ,201.851 ,196.03400000000002,211.872,212.935,214.63,210.231,211.521,179.717 ,MK
28,Malta,70.632 ,92.080 ,88.007 ,100.415 ,103.516 ,110.711,120.944,118.292,128.355,121.06299999999999,127.555,122.699 ,MT
29,Netherlands,7327.890 ,7846.854 ,6989.448 ,7238.688 ,7267.758 ,6412.357,6738.251,6780.95,6931.533,6915.516,6771.311,6466.402 ,NL
30,Norway,2929.050 ,3011.718 ,2853.364 ,2962.313 ,3027.639 ,2888.9429999999998,2929.994,3148.264,3088.712,3160.184,3191.335,3018.328 ,NO
31,Poland,8040.534 ,8836.691 ,8429.508 ,8363.910 ,8078.737 ,7788.281,7842.255,8502.84,8044.436,7928.522,7808.026999999999,7580.285 ,PL
32,Portugal,2043.248 ,1884.210 ,1856.353 ,1843.417 ,1786.725 ,2284.617,2356.381,2289.624,2301.406,2380.697,2359.341,2159.498 ,PT
33,Romania,1760.388 ,1880.538 ,1774.282 ,1763.099 ,1784.900 ,1768.388,1761.969,1806.394,1858.4270000000001,1976.15,1962.1370000000002,1834.290 ,RO
34,Serbia,843.444 ,905.620 ,1046.670 ,834.956 ,803.644 ,772.34,874.645,886.3910000000001,939.812,891.441,863.53,856.617 ,RS
35,Sweden,4036.871 ,4333.817 ,3864.910 ,4046.355 ,3958.982 ,3960.473,4022.2340000000004,4216.875,3991.218,4120.8279999999995,4024.796,4007.556 ,SE
36,Slovenia,490.996 ,532.638 ,531.470 ,453.358 ,467.775 ,427.211,454.50300000000004,492.42699999999996,480.68,474.45300000000003,451.994,415.346 ,SI
37,Slovakia,1944.416 ,2105.400 ,1601.718 ,1451.245 ,1710.558 ,1233.318,1299.549,1308.325,1426.737,1314.726,1222.219,1108.483 ,SK
38,Turkey,9790.714 ,9493.149 ,9903.139 ,11005.128 ,10611.925 ,11021.419,12194.776000000002,12415.868999999999,13567.21,12545.67,13968.181,13883.565 ,TR
39,Ukraine,4181.519 ,4652.342 ,5129.446 ,5006.804 ,5767.651 ,4664.962,3888.355,4671.814,4336.853,4720.627,4832.831,4869.916 ,UA
40,United Kingdom,15763.782 ,16526.940 ,15239.696 ,16232.096 ,16585.582 ,15523.581,16841.958,18092.42,17938.94,18222.398999999998,18084.583,: ,UK
41,Kosovo (under United Nations Security Council Resolution 1244/99),111.910 ,112.324 ,117.913 ,117.736 ,115.457 ,139.135,148.344,177.055,191.548,154.605,163.882,158.241 ,XK
