Year,Albania,Austria,Bosnia and Herzegovina,Belgium,Bulgaria,Cyprus,Czechia,Germany (until 1990 former territory of the FRG),Denmark,Estonia,Greece,Spain,Finland,France,Croatia,Hungary,Ireland,Iceland,Italy,Lithuania,Luxembourg,Latvia,Montenegro,North Macedonia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Sweden,Slovenia,Slovakia,United Kingdom,Kosovo (under United Nations Security Council Resolution 1244/99)
2004 ,29.621,22.553,20.274,1.916,9.231,3.071,6.773,6.207,14.839,18.42,7.161,8.345,29.232,9.319,23.404,4.364,2.378,58.899,6.316,17.221,0.899,32.794,,15.702,0.102,2.03,58.417,6.882,19.205,16.811,12.724,38.427,18.397,6.391,1.096,20.541
2005 ,31.367,24.353,19.752,2.325,9.173,3.131,7.113,7.167000000000001,15.955,17.477999999999998,7.277,8.443999999999999,28.814,9.272,23.691,6.931,2.822,60.27,7.548999999999999,16.768,1.402,32.264,35.694,16.465999999999998,0.123,2.478,60.069,6.867000000000001,19.523,17.570999999999998,14.257,39.982,19.809,6.36,1.281,19.773
2006 ,32.07,26.276,19.213,2.658,9.415,3.263,7.362,8.466000000000001,16.332,16.011,7.457999999999999,9.156,30.043000000000003,8.936,22.668000000000003,7.433,3.074,60.92100000000001,8.328,16.887,1.469,31.141,34.842,16.527,0.149,2.778,60.521,6.859,20.792,17.096,14.542,41.734,18.416,6.584,1.4880000000000002,19.512
2007 ,32.657,28.144,18.701,3.14,9.098,4.001,7.895,10.039,17.747,17.139,8.249,9.667,29.561,9.426,22.161,8.575,3.497,71.925,9.807,16.482,2.725,29.615,32.925,14.976,0.177,3.298,60.398,6.903,21.907,18.195,14.327,43.224,19.676,7.766,1.735,18.812
2008 ,32.448,28.788,16.708,3.611,10.345,5.131,8.674,10.072,18.543,18.811,8.183,10.744000000000002,31.071,11.188,21.986,8.564,3.979,67.98100000000001,11.492,17.825,2.809,29.811,32.29,15.555,0.195,3.596,62.003,7.686,22.929,20.204,15.888,43.922,18.646,7.723,2.814,18.429
2009 ,31.437,31.04,18.471,4.747,12.005,5.92,9.977,10.851,19.948,23.009,8.731,12.958,31.045,12.215,23.596,11.674,5.242999999999999,70.238,12.775,19.798,2.929,34.318000000000005,39.371,17.238,0.221,4.266,65.071,8.676,24.405,22.157,21.024,47.024,20.765,9.368,3.448,18.23
2010 ,31.867,31.205,18.71,6.004,13.928,6.1610000000000005,10.513,11.667,21.888,24.575,10.077,13.782,32.166,12.671,25.103,12.742,5.755,70.90899999999999,13.023,19.64,2.852,30.375,40.64,16.451,0.979,3.917,61.889,9.281,24.15,22.834,19.764,46.099,21.081,9.099,3.862,18.23
2011 ,31.187,31.552,17.995,6.3020000000000005,14.152,6.245,10.945,12.47,23.389,25.515,11.153,13.175999999999998,32.532,10.813,25.389,13.972,6.605,72.298,12.880999999999998,19.943,2.855,33.478,40.648,16.407,1.85,4.524,64.638,10.337,24.603,21.743,19.118,47.632,20.937,10.348,4.392,17.598
2012 ,35.152,32.734,18.014,7.086,15.837,7.111000000000001,12.814,13.549,25.465,25.586,13.741,14.239,34.222,13.239,26.757,15.53,7.029,73.727,15.441,21.437,3.112,35.709,41.513000000000005,18.128,2.862,4.659,64.932,10.955,24.574,22.825,20.79,49.403,21.551,10.453,4.461,18.625
2013 ,33.167,32.665,19.307,7.671,18.898,8.427999999999999,13.927,13.76,27.173,25.356,15.326,15.081,36.63,13.88,28.04,16.205,7.521,73.788,16.741,22.689,3.494,37.037,43.696000000000005,18.509,3.76,4.691,66.48,11.452,25.7,23.886,21.095,50.153,23.161,10.133,5.524,18.823
2014 ,31.856,33.55,24.873,8.038,18.05,9.144,15.074000000000002,14.385,29.31,26.13,15.683,15.88,38.632,14.362,27.817,14.618,8.516,73.043,17.082,23.592,4.471,38.629,44.098,19.559,4.744,5.415,68.406,11.605,29.508000000000003,24.845,22.864,51.151,22.459,11.713,6.737,19.544
2015 ,34.913000000000004,33.498000000000005,26.607,8.06,18.261,9.903,15.07,14.906,30.469,28.987,15.69,16.221,39.228,14.803,28.969,14.495,9.083,71.949,17.526,25.748,4.987,37.538,43.073,19.526,5.119,5.714,68.545,11.880999999999998,30.514,24.785,21.989,52.22,22.879,12.883,8.385,18.484
2016 ,36.953,33.37,25.358,8.744,18.76,9.833,14.925999999999998,14.889,31.715,29.232,15.390999999999998,17.015,38.942,15.451,28.266,14.377,9.189,75.329,17.415,25.613000000000003,5.364,37.138000000000005,41.529,18.044,6.207999999999999,5.846,69.235,11.396,30.864,25.032,21.147,52.597,21.975,12.029000000000002,9.032,24.472
2017 ,35.777,33.137,23.241,9.136,18.695,10.478,14.799,15.476,34.387,29.538,17.3,17.118,40.855,15.847,27.28,13.556,10.52,74.104,18.267,26.038,6.194,39.008,39.693000000000005,19.636,7.218999999999999,6.507000000000001,70.036,11.059,30.611,24.454,20.287,53.39,21.658,11.465,9.858,23.082
2018 ,36.572,33.784,35.972,9.472,20.581,13.873,15.14,16.66,35.16,29.97,18.000999999999998,17.023,41.182,16.384,28.047,12.549,10.942,77.173,17.796,24.695,8.942,40.019,38.801,18.179,7.914,7.394,71.566,14.936,30.203000000000003,23.875,20.32,53.916,21.378,11.896,11.138,24.616
2019 ,38.042,33.755,37.578,9.929,21.546,13.777,16.239,17.266,37.02,31.73,19.633,17.852,42.723,17.174,28.466,12.634,11.979,78.612,18.181,25.475,7.046,40.929,37.722,17.485,8.23,8.886000000000001,74.406,15.377,30.623,24.29,21.443,55.785,21.968000000000004,16.894000000000002,12.336,24.215
2020 ,45.015,36.545,,13.0,23.319,16.879,17.303,19.312,31.648,30.069,21.749,21.22,43.802,19.109,31.023,13.85,16.16,83.725,20.359,26.773,11.699,42.132,43.77,19.222,10.714,13.999,77.358,16.102,33.982,24.478,25.983,60.124,25.0,17.345,,24.401
